"_raw","_time","date_hour","date_mday","date_minute","date_month","date_second","date_wday","date_year","date_zone",detail,"dst_ip",eventtype,host,index,linecount,punct,severity,source,sourcetype,"splunk_server","splunk_server_group","src_ip","threat_type",timeendpos,timestamp,timestartpos
"2026-05-24 02:47:46,192.168.56.101,192.168.56.102,SYN FLOOD / DoS DETECTED,HIGH,500 SYN packets to port 80 in 3s from same source IP. Possible SYN flood DoS attack.","2026-05-24T02:47:46.192+0530",2,24,47,may,46,sunday,2026,local,"500 SYN packets to port 80 in 3s from same source IP. Possible SYN flood DoS attack.","192.168.56.102",,kali,"ids_alerts",1,"--_::,...,...,__/__,,___________._____.",HIGH,"/home/md/ids_alerts.csv",csv,kali,,"192.168.56.101","SYN FLOOD / DoS DETECTED",23,"2026-05-24 02:47:46",0
"2026-05-24 02:47:45,192.168.56.101,192.168.56.102,SYN FLOOD / DoS DETECTED,HIGH,500 SYN packets to port 80 in 3s from same source IP. Possible SYN flood DoS attack.","2026-05-24T02:47:45.192+0530",2,24,47,may,45,sunday,2026,local,"500 SYN packets to port 80 in 3s from same source IP. Possible SYN flood DoS attack.","192.168.56.102",,kali,"ids_alerts",1,"--_::,...,...,__/__,,___________._____.",HIGH,"/home/md/ids_alerts.csv",csv,kali,,"192.168.56.101","SYN FLOOD / DoS DETECTED",23,"2026-05-24 02:47:45",0
"2026-05-24 02:47:45,192.168.56.101,192.168.56.102,SYN FLOOD / DoS DETECTED,HIGH,500 SYN packets to port 80 in 3s from same source IP. Possible SYN flood DoS attack.","2026-05-24T02:47:45.192+0530",2,24,47,may,45,sunday,2026,local,"500 SYN packets to port 80 in 3s from same source IP. Possible SYN flood DoS attack.","192.168.56.102",,kali,"ids_alerts",1,"--_::,...,...,__/__,,___________._____.",HIGH,"/home/md/ids_alerts.csv",csv,kali,,"192.168.56.101","SYN FLOOD / DoS DETECTED",23,"2026-05-24 02:47:45",0
"2026-05-24 02:47:13,192.168.56.101,192.168.56.102,SYN FLOOD / DoS DETECTED,HIGH,500 SYN packets to port 80 in 3s from same source IP. Possible SYN flood DoS attack.","2026-05-24T02:47:13.192+0530",2,24,47,may,13,sunday,2026,local,"500 SYN packets to port 80 in 3s from same source IP. Possible SYN flood DoS attack.","192.168.56.102",,kali,"ids_alerts",1,"--_::,...,...,__/__,,___________._____.",HIGH,"/home/md/ids_alerts.csv",csv,kali,,"192.168.56.101","SYN FLOOD / DoS DETECTED",23,"2026-05-24 02:47:13",0
"2026-05-24 02:46:44,192.168.56.101,192.168.56.102,ICMP FLOOD DETECTED,HIGH,100 ICMP packets in 5s from same IP. Possible DoS/DDoS attack via ICMP flood.","2026-05-24T02:46:44.192+0530",2,24,46,may,44,sunday,2026,local,"100 ICMP packets in 5s from same IP. Possible DoS/DDoS attack via ICMP flood.","192.168.56.102",,kali,"ids_alerts",1,"--_::,...,...,__,,_______.__/____.",HIGH,"/home/md/ids_alerts.csv",csv,kali,,"192.168.56.101","ICMP FLOOD DETECTED",23,"2026-05-24 02:46:44",0
"2026-05-24 02:45:53,192.168.56.103,192.168.56.101,DNS TUNNELING DETECTED — HIGH QUERY VOLUME,HIGH,10 DNS queries in 30s from same IP. 1 unique domains queried.Possible data exfiltration via DNS.","2026-05-24T02:45:53.192+0530",2,24,45,may,53,sunday,2026,local,"10 DNS queries in 30s from same IP. 1 unique domains queried.Possible data exfiltration via DNS.","192.168.56.101",,kali,"ids_alerts",1,"--_::,...,...,______,,_______.____.____.",HIGH,"/home/md/ids_alerts.csv",csv,kali,,"192.168.56.103","DNS TUNNELING DETECTED — HIGH QUERY VOLUME",23,"2026-05-24 02:45:53",0
"2026-05-24 02:45:53,192.168.56.101,192.168.56.103,DNS TUNNELING DETECTED — HIGH QUERY VOLUME,HIGH,10 DNS queries in 30s from same IP. 1 unique domains queried.Possible data exfiltration via DNS.","2026-05-24T02:45:53.192+0530",2,24,45,may,53,sunday,2026,local,"10 DNS queries in 30s from same IP. 1 unique domains queried.Possible data exfiltration via DNS.","192.168.56.103",,kali,"ids_alerts",1,"--_::,...,...,______,,_______.____.____.",HIGH,"/home/md/ids_alerts.csv",csv,kali,,"192.168.56.101","DNS TUNNELING DETECTED — HIGH QUERY VOLUME",23,"2026-05-24 02:45:53",0
"2026-05-24 02:45:34,08:00:27:c5:06:86,192.168.56.103,ARP SPOOFING DETECTED,HIGH,""IP 192.168.56.103 previously mapped to MAC 08:00:27:44:dd:84, now claiming MAC 08:00:27:c5:06:86. Possible MITM attack.""","2026-05-24T02:45:34.000+0530",2,24,45,may,34,sunday,2026,local,"IP 192.168.56.103 previously mapped to MAC 08:00:27:44:dd:84, now claiming MAC 08:00:27:c5:06:86. Possible MITM attack.","192.168.56.103",,kali,"ids_alerts",1,"--_::,:::::,...,__,,""_..._____:::::,____:::::.___.",HIGH,"/home/md/ids_alerts.csv",csv,kali,,"08:00:27:c5:06:86","ARP SPOOFING DETECTED",21,"2026-05-24 02:45:34",0
"2026-05-24 02:43:31,192.168.56.101,192.168.56.102,BRUTE FORCE DETECTED — SSH,CRITICAL,10 connection attempts to SSH (port 22) in 60s.","2026-05-24T02:43:31.192+0530",2,24,43,may,31,sunday,2026,local,"10 connection attempts to SSH (port 22) in 60s.","192.168.56.102",,kali,"ids_alerts",1,"--_::,...,...,____,,_____(_)__.",CRITICAL,"/home/md/ids_alerts.csv",csv,kali,,"192.168.56.101","BRUTE FORCE DETECTED — SSH",23,"2026-05-24 02:43:31",0
"2026-05-24 02:43:19,192.168.56.101,192.168.56.102,BRUTE FORCE DETECTED — SSH,CRITICAL,10 connection attempts to SSH (port 22) in 60s.","2026-05-24T02:43:19.192+0530",2,24,43,may,19,sunday,2026,local,"10 connection attempts to SSH (port 22) in 60s.","192.168.56.102",,kali,"ids_alerts",1,"--_::,...,...,____,,_____(_)__.",CRITICAL,"/home/md/ids_alerts.csv",csv,kali,,"192.168.56.101","BRUTE FORCE DETECTED — SSH",23,"2026-05-24 02:43:19",0
"2026-05-24 02:42:22,192.168.56.101,192.168.56.102,PORT SCAN DETECTED,HIGH,50 SYN packets in 5s — 36 unique destination ports targeted.","2026-05-24T02:42:22.192+0530",2,24,42,may,22,sunday,2026,local,"50 SYN packets in 5s — 36 unique destination ports targeted.","192.168.56.102",,kali,"ids_alerts",1,"--_::,...,...,__,,__________.",HIGH,"/home/md/ids_alerts.csv",csv,kali,,"192.168.56.101","PORT SCAN DETECTED",23,"2026-05-24 02:42:22",0
